company_id,company_name,equity_ticker
6201,AMERICAN AIRLINES GROUP INC.,AAL
824142,"AAON, INC.",AAON
1158449,"Advance Auto Parts, Inc.",AAP
1144980,"ASBURY AUTOMOTIVE GROUP, INC",ABG
771497,ABM INDUSTRIES INCORPORATED,ABM
1559720,"Airbnb, Inc.",ABNB
712034,ACCO Brands Corporation,ACCO
868857,AECOM,ACM
1637873,ACV Auctions Inc.,ACVA
919012,AMERICAN EAGLE OUTFITTERS INC,AEO
880266,AGCO CORP /DE,AGCO
100591,ARGAN INC,AGX
819793,ALBANY INTERNATIONAL CORP.,AIN
1750,AAR CORP.,AIR
109563,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",AIT
3545,"ALICO, INC.",ALCO
897077,ALAMO GROUP INC.,ALG
1362468,Allegiant Travel Company,ALGT
766421,"ALASKA AIR GROUP, INC.",ALK
46129,ALLIENT INC,ALNT
1411207,Allison Transmission Holdings Inc,ALSN
1034670,"Autoliv, Inc.",ALV
1037868,"AMETEK, Inc.",AME
1488139,"Ameresco, Inc.",AMRC
880807,American Superconductor Corporation,AMSC
794619,American Woodmark Corp,AMWD
821026,"THE ANDERSONS, INC.",ANDE
1018840,Abercrombie & Fitch Co.,ANF
91142,A. O. Smith Corporation,AOS
1201792,"American Public Education, Inc.",APEI
6845,"APOGEE ENTERPRISES, INC.",APOG
894405,ARCBEST CORPORATION,ARCB
1584509,Aramark,ARMK
792987,"Astec Industries, Inc.",ASTE
884144,"ASURE SOFTWARE, INC.",ASUR
730464,Covista Inc.,ATGE
8063,Astronics Corporation,ATRO
1368622,"AEROVIRONMENT, INC.",AVAV
7431,"ARMSTRONG WORLD INDUSTRIES, INC.",AWI
1069183,"Axon Enterprise, Inc.",AXON
8947,AZZ Inc.,AZZ
1443646,Booz Allen Hamilton Holding Corporation,BAH
902791,"BARRETT BUSINESS SERVICES, INC.",BBSI
1113809,"Build-A-Bear Workshop, Inc.",BBW
701985,"BATH & BODY WORKS, INC.",BBWI
1328581,Boise Cascade Company,BCC
78890,THE BRINK’S COMPANY,BCO
1437578,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM
1278027,"B&G Foods, Inc.",BGS
1531152,"BJ’S WHOLESALE CLUB HOLDINGS, INC.",BJ
1013488,"BJ’S RESTAURANTS, INC.",BJRI
885245,"BUCKLE, INC",BKE
1075531,Booking Holdings Inc.,BKNG
1589526,BLUE BIRD CORPORATION,BLBD
1633931,TopBuild Corp,BLD
1316835,"BUILDERS FIRSTSOURCE, INC.",BLDR
1546417,"BLOOMIN’ BRANDS, INC.",BLMN
1634117,"BARNES & NOBLE EDUCATION, INC.",BNED
1610250,"Boot Barn Holdings, Inc.",BOOT
746598,BRADY CORP,BRC
10329,"BASSETT FURNITURE INDUSTRIES, INCORPORATED",BSET
1579298,"BURLINGTON STORES, INC.",BURL
1486957,"BWX TECHNOLOGIES, INC.",BWXT
1301787,BlueLinx Holdings Inc.,BXC
1354866,BYRNA TECHNOLOGIES INC.,BYRN
16058,CACI International Inc,CACI
887596,THE CHEESECAKE FACTORY INCORPORATED,CAKE
14707,"CALERES, INC.",CAL
16160,"Cal-Maine Foods, Inc.",CALM
1579091,MAPLEBEAR INC.,CART
726958,"CASEY'S GENERAL STORES, INC.",CASY
1639438,"CAVA Group, Inc.",CAVA
1067294,"CRACKER BARREL OLD COUNTRY STORE, INC.",CBRL
944148,"CBIZ, INC.",CBZ
1576940,"Century Communities, Inc.",CCS
3197,CECO ENVIRONMENTAL CORP.,CECO
1341766,"CELSIUS HOLDINGS, INC.",CELH
887733,CENTRAL GARDEN & PET CO,CENTA
20212,Churchill Downs Inc,CHDN
1517175,"THE CHEFS’ WAREHOUSE, INC.",CHEF
1046311,CHOICE HOTELS INTERNATIONAL INC / DE,CHH
1043277,"C.H. ROBINSON WORLDWIDE, INC.",CHRW
1049606,COMPX INTERNATIONAL INC,CIX
822818,"CLEAN HARBORS, INC.",CLH
1005229,COLUMBUS MCKINNON CORP,CMCO
1058090,"CHIPOTLE MEXICAN GRILL, INC.",CMG
1482981,"The Vita Coco Company, Inc.",COCO
317540,"COCA-COLA CONSOLIDATED, INC.",COKE
1050797,COLUMBIA SPORTSWEAR COMPANY,COLM
1024305,Coty Inc.,COTY
900075,"COPART, INC.",CPRT
1320461,COOPER-STANDARD HOLDINGS INC.,CPS
1053706,"CRA International, Inc.",CRAI
1060822,"CARTER’S, INC",CRI
799850,"AMERICA’S CAR-MART, INC.",CRMT
1334036,"CROCS, INC.",CROX
17843,CARPENTER TECHNOLOGY CORP,CRS
1005757,"CSG SYSTEMS INTERNATIONAL, INC.",CSGS
1016281,"CARRIAGE SERVICES, INC.",CSV
723254,Cintas Corporation,CTAS
1318484,"Citi Trends, Inc.",CTRN
278166,"CAVCO INDUSTRIES, INC.",CVCO
1133470,"CALAVO GROWERS, INC.",CVGW
928658,"COVENANT LOGISTICS GROUP, INC.",CVLG
26324,CURTISS-WRIGHT CORPORATION,CW
911177,"Casella Waste Systems, Inc.",CWST
1590895,"CAESARS ENTERTAINMENT, INC.",CZR
916540,DARLING INGREDIENTS INC.,DAR
1319947,Designer Brands Inc.,DBI
29644,"DONALDSON COMPANY, INC.",DCI
30305,DUCOMMUN INCORPORATED,DCO
910638,3D SYSTEMS CORPORATION,DDD
910521,DECKERS OUTDOOR CORP,DECK
49754,"Dine Brands Global, Inc.",DIN
1089063,"DICK'S SPORTING GOODS, INC.",DKS
935703,"DOLLAR TREE, INC.",DLTR
1599617,DNOW INC.,DNOW
868780,"DORMAN PRODUCTS, INC.",DORM
1286681,"Domino’s Pizza, Inc.",DPZ
703604,"DISTRIBUTION SOLUTIONS GROUP, INC.",DSGR
1562088,"Duolingo, Inc.",DUOL
1020710,"DXP Enterprises, Inc.",DXPE
67215,DYCOM INDUSTRIES INC,DY
703351,"BRINKER INTERNATIONAL, INC.",EAT
33002,"ENNIS, INC.",EBF
701719,Envela Corporation,ELA
1600033,"e.l.f. Beauty, Inc.",ELF
105634,"EMCOR Group, Inc.",EME
31107,THE EASTERN COMPANY,EML
1632790,"ENERGIZER HOLDINGS, INC.",ENR
1289308,EnerSys,ENS
6955,ENERPAC TOOL GROUP CORP.,EPAC
1096752,EDGEWELL PERSONAL CARE COMPANY,EPC
1421517,"Energy Recovery, Inc.",ERII
33488,"ESCALADE, INCORPORATED",ESCA
866706,ESCO TECHNOLOGIES INC.,ESE
896156,Ethan Allen Interiors Inc.,ETD
1370637,"ETSY, INC.",ETSY
